# title|labels|summary|acceptance_criteria
Single player: move guess button to bottom|enhancement,ui,single-player|Relocate the Guess button to the bottom of the screen for single player mode.|Guess button is anchored at the bottom in single player; no overlap with player badge; no multiplayer regressions.
Single player: clarify player badge labels|enhancement,ui,single-player|Make player badge labels clearer and more readable.|Labels are legible at target resolution; colour contrast meets accessibility expectations; labels do not clip.
Single player: fix guess button focus and click reliability|bug,ui,single-player|Ensure the Guess button responds reliably to first click and gains focus as expected.|First click activates reliably; keyboard/controller confirm works when focused; no duplicate submissions.
Game flow: improve transition overlay messaging|enhancement,ui,game-flow|Refine messages shown between questions, especially winner and next round notifications.|Messages are concise and consistent; transition timing feels natural; messaging is clear in single and multiplayer.
Lobby: add standardised title treatment|enhancement,ui,multiplayer|Ensure the lobby screen has a clear and consistent title style.|Lobby title uses agreed style; alignment is consistent across resolutions; no overlap with other UI.
Lobby: refresh background and colour treatment|enhancement,ui,multiplayer|Update lobby background and colour scheme for improved readability and visual quality.|Chosen background passes readability checks; contrast improved for key text; visual style aligns with game screens.
Lobby: fix QR code join flow|bug,multiplayer,networking|Investigate and resolve QR code issues on the lobby screen.|QR code is generated and scannable on supported devices; scanned link opens controller page; failure state is shown when unavailable.
Multiplayer: resize and stabilise player badges layout|bug,ui,multiplayer|Adjust badge sizes and layout to support multiple players without overlap.|At least 4 players render without overlap; text remains legible; layout degrades gracefully up to current max.
Testing: add simple four-player test mode|enhancement,testing,multiplayer|Provide an easier way to simulate or test with four players.|Documented local test path exists; four-player loop can be exercised without manual device setup for every run.
Gameplay: decide and enforce max player count for this release|decision,gameplay,release-planning|Set a sensible player limit for this version and enforce it in UI and validation.|Final max player count agreed; settings/UI validation enforce the value; docs updated.
Planning: capture fork ideas outside current scope|documentation,planning|Record future ideas (self-revealing questions, remote fast answers, etc.) as out-of-scope concepts.|Ideas captured in a dedicated doc/issue set; each marked out-of-scope for current release.
Documentation: keep lightweight development diary|documentation,process|Maintain a brief changelog/development diary as work progresses.|Diary updated at least weekly or per milestone; entries are concise and dated.
Documentation: routine documentation review pass|documentation,process|Review and refresh project documentation regularly to keep it accurate.|Key docs reviewed on a regular cadence; stale sections updated or flagged.
